Federal Individual Income Tax Rates History,,,,,,,,,,,,,
Nominal Dollars,,,,,,,,,,,,,
 Income Years 1913-2021,,,,,,,,,,,,,
,Married Filing Jointly,,,Married Filing Separately,,,Single Filer,,,Head of Household,,,Notes:
,84.0%,>,"$160,000",84.0%,>,"$80,000",84.0%,>,"$80,000",74.0%,>,"$70,000",
,87.0%,>,"$180,000",87.0%,>,"$90,000",87.0%,>,"$90,000",76.0%,>,"$80,000",
,89.0%,>,"$200,000",89.0%,>,"$100,000",89.0%,>,"$100,000",80.0%,>,"$90,000",
,90.0%,>,"$300,000",90.0%,>,"$150,000",90.0%,>,"$150,000",83.0%,>,"$100,000",
,91.0%,>,"$400,000",91.0%,>,"$200,000",91.0%,>,"$200,000",87.0%,>,"$150,000",
,,,,,,,,,,90.0%,>,"$200,000",
,,,,,,,,,,91.0%,>,"$300,000",
,,,,,,,,,,,,,
1961,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,Last law to change rates was the Internal Revenue Code of 1954.
,22.0%,>,"$4,000",22.0%,>,"$2,000",22.0%,>,"$2,000",21.0%,>,"$2,000",
,26.0%,>,"$8,000",26.0%,>,"$4,000",26.0%,>,"$4,000",24.0%,>,"$4,000",
,30.0%,>,"$12,000",30.0%,>,"$6,000",30.0%,>,"$6,000",26.0%,>,"$6,000",
,34.0%,>,"$16,000",34.0%,>,"$8,000",34.0%,>,"$8,000",30.0%,>,"$8,000",
,38.0%,>,"$20,000",38.0%,>,"$10,000",38.0%,>,"$10,000",32.0%,>,"$10,000",
,43.0%,>,"$24,000",43.0%,>,"$12,000",43.0%,>,"$12,000",36.0%,>,"$12,000",
,47.0%,>,"$28,000",47.0%,>,"$14,000",47.0%,>,"$14,000",39.0%,>,"$14,000",
,50.0%,>,"$32,000",50.0%,>,"$16,000",50.0%,>,"$16,000",42.0%,>,"$16,000",
,53.0%,>,"$36,000",53.0%,>,"$18,000",53.0%,>,"$18,000",43.0%,>,"$18,000",
,56.0%,>,"$40,000",56.0%,>,"$20,000",56.0%,>,"$20,000",47.0%,>,"$20,000",
,59.0%,>,"$44,000",59.0%,>,"$22,000",59.0%,>,"$22,000",49.0%,>,"$22,000",
,62.0%,>,"$52,000",62.0%,>,"$26,000",62.0%,>,"$26,000",52.0%,>,"$24,000",
,65.0%,>,"$64,000",65.0%,>,"$32,000",65.0%,>,"$32,000",54.0%,>,"$28,000",
,69.0%,>,"$76,000",69.0%,>,"$38,000",69.0%,>,"$38,000",58.0%,>,"$32,000",
,72.0%,>,"$88,000",72.0%,>,"$44,000",72.0%,>,"$44,000",62.0%,>,"$38,000",
,75.0%,>,"$100,000",75.0%,>,"$50,000",75.0%,>,"$50,000",66.0%,>,"$44,000",
,78.0%,>,"$120,000",78.0%,>,"$60,000",78.0%,>,"$60,000",68.0%,>,"$50,000",
,81.0%,>,"$140,000",81.0%,>,"$70,000",81.0%,>,"$70,000",71.0%,>,"$60,000",
,84.0%,>,"$160,000",84.0%,>,"$80,000",84.0%,>,"$80,000",74.0%,>,"$70,000",
,87.0%,>,"$180,000",87.0%,>,"$90,000",87.0%,>,"$90,000",76.0%,>,"$80,000",
,89.0%,>,"$200,000",89.0%,>,"$100,000",89.0%,>,"$100,000",80.0%,>,"$90,000",
,90.0%,>,"$300,000",90.0%,>,"$150,000",90.0%,>,"$150,000",83.0%,>,"$100,000",
,91.0%,>,"$400,000",91.0%,>,"$200,000",91.0%,>,"$200,000",87.0%,>,"$150,000",
,,,,,,,,,,90.0%,>,"$200,000",
,,,,,,,,,,91.0%,>,"$300,000",
,,,,,,,,,,,,,
1960,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,Last law to change rates was the Internal Revenue Code of 1954.
,22.0%,>,"$4,000",22.0%,>,"$2,000",22.0%,>,"$2,000",21.0%,>,"$2,000",
,26.0%,>,"$8,000",26.0%,>,"$4,000",26.0%,>,"$4,000",24.0%,>,"$4,000",
,30.0%,>,"$12,000",30.0%,>,"$6,000",30.0%,>,"$6,000",26.0%,>,"$6,000",
,34.0%,>,"$16,000",34.0%,>,"$8,000",34.0%,>,"$8,000",30.0%,>,"$8,000",
,38.0%,>,"$20,000",38.0%,>,"$10,000",38.0%,>,"$10,000",32.0%,>,"$10,000",
,43.0%,>,"$24,000",43.0%,>,"$12,000",43.0%,>,"$12,000",36.0%,>,"$12,000",
,47.0%,>,"$28,000",47.0%,>,"$14,000",47.0%,>,"$14,000",39.0%,>,"$14,000",
,50.0%,>,"$32,000",50.0%,>,"$16,000",50.0%,>,"$16,000",42.0%,>,"$16,000",
,53.0%,>,"$36,000",53.0%,>,"$18,000",53.0%,>,"$18,000",43.0%,>,"$18,000",
,56.0%,>,"$40,000",56.0%,>,"$20,000",56.0%,>,"$20,000",47.0%,>,"$20,000",
,59.0%,>,"$44,000",59.0%,>,"$22,000",59.0%,>,"$22,000",49.0%,>,"$22,000",
,62.0%,>,"$52,000",62.0%,>,"$26,000",62.0%,>,"$26,000",52.0%,>,"$24,000",
,65.0%,>,"$64,000",65.0%,>,"$32,000",65.0%,>,"$32,000",54.0%,>,"$28,000",
,69.0%,>,"$76,000",69.0%,>,"$38,000",69.0%,>,"$38,000",58.0%,>,"$32,000",
,72.0%,>,"$88,000",72.0%,>,"$44,000",72.0%,>,"$44,000",62.0%,>,"$38,000",
,75.0%,>,"$100,000",75.0%,>,"$50,000",75.0%,>,"$50,000",66.0%,>,"$44,000",
,78.0%,>,"$120,000",78.0%,>,"$60,000",78.0%,>,"$60,000",68.0%,>,"$50,000",
,81.0%,>,"$140,000",81.0%,>,"$70,000",81.0%,>,"$70,000",71.0%,>,"$60,000",
,84.0%,>,"$160,000",84.0%,>,"$80,000",84.0%,>,"$80,000",74.0%,>,"$70,000",
,87.0%,>,"$180,000",87.0%,>,"$90,000",87.0%,>,"$90,000",76.0%,>,"$80,000",
,89.0%,>,"$200,000",89.0%,>,"$100,000",89.0%,>,"$100,000",80.0%,>,"$90,000",
,90.0%,>,"$300,000",90.0%,>,"$150,000",90.0%,>,"$150,000",83.0%,>,"$100,000",
,91.0%,>,"$400,000",91.0%,>,"$200,000",91.0%,>,"$200,000",87.0%,>,"$150,000",
,,,,,,,,,,90.0%,>,"$200,000",
,,,,,,,,,,91.0%,>,"$300,000",
,,,,,,,,,,,,,
1959,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,Last law to change rates was the Internal Revenue Code of 1954.
,22.0%,>,"$4,000",22.0%,>,"$2,000",22.0%,>,"$2,000",21.0%,>,"$2,000",
,26.0%,>,"$8,000",26.0%,>,"$4,000",26.0%,>,"$4,000",24.0%,>,"$4,000",
,30.0%,>,"$12,000",30.0%,>,"$6,000",30.0%,>,"$6,000",26.0%,>,"$6,000",
,34.0%,>,"$16,000",34.0%,>,"$8,000",34.0%,>,"$8,000",30.0%,>,"$8,000",
,38.0%,>,"$20,000",38.0%,>,"$10,000",38.0%,>,"$10,000",32.0%,>,"$10,000",
,43.0%,>,"$24,000",43.0%,>,"$12,000",43.0%,>,"$12,000",36.0%,>,"$12,000",
,47.0%,>,"$28,000",47.0%,>,"$14,000",47.0%,>,"$14,000",39.0%,>,"$14,000",
,50.0%,>,"$32,000",50.0%,>,"$16,000",50.0%,>,"$16,000",42.0%,>,"$16,000",
,53.0%,>,"$36,000",53.0%,>,"$18,000",53.0%,>,"$18,000",43.0%,>,"$18,000",
,56.0%,>,"$40,000",56.0%,>,"$20,000",56.0%,>,"$20,000",47.0%,>,"$20,000",
,59.0%,>,"$44,000",59.0%,>,"$22,000",59.0%,>,"$22,000",49.0%,>,"$22,000",
,62.0%,>,"$52,000",62.0%,>,"$26,000",62.0%,>,"$26,000",52.0%,>,"$24,000",
,65.0%,>,"$64,000",65.0%,>,"$32,000",65.0%,>,"$32,000",54.0%,>,"$28,000",
,69.0%,>,"$76,000",69.0%,>,"$38,000",69.0%,>,"$38,000",58.0%,>,"$32,000",
,72.0%,>,"$88,000",72.0%,>,"$44,000",72.0%,>,"$44,000",62.0%,>,"$38,000",
,75.0%,>,"$100,000",75.0%,>,"$50,000",75.0%,>,"$50,000",66.0%,>,"$44,000",
,78.0%,>,"$120,000",78.0%,>,"$60,000",78.0%,>,"$60,000",68.0%,>,"$50,000",
,81.0%,>,"$140,000",81.0%,>,"$70,000",81.0%,>,"$70,000",71.0%,>,"$60,000",
,84.0%,>,"$160,000",84.0%,>,"$80,000",84.0%,>,"$80,000",74.0%,>,"$70,000",
,87.0%,>,"$180,000",87.0%,>,"$90,000",87.0%,>,"$90,000",76.0%,>,"$80,000",
,89.0%,>,"$200,000",89.0%,>,"$100,000",89.0%,>,"$100,000",80.0%,>,"$90,000",
,90.0%,>,"$300,000",90.0%,>,"$150,000",90.0%,>,"$150,000",83.0%,>,"$100,000",
,91.0%,>,"$400,000",91.0%,>,"$200,000",91.0%,>,"$200,000",87.0%,>,"$150,000",
,,,,,,,,,,90.0%,>,"$200,000",
,,,,,,,,,,91.0%,>,"$300,000",
,,,,,,,,,,,,,
1958,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,Last law to change rates was the Internal Revenue Code of 1954.
,22.0%,>,"$4,000",22.0%,>,"$2,000",22.0%,>,"$2,000",21.0%,>,"$2,000",
,26.0%,>,"$8,000",26.0%,>,"$4,000",26.0%,>,"$4,000",24.0%,>,"$4,000",
,30.0%,>,"$12,000",30.0%,>,"$6,000",30.0%,>,"$6,000",26.0%,>,"$6,000",
,34.0%,>,"$16,000",34.0%,>,"$8,000",34.0%,>,"$8,000",30.0%,>,"$8,000",
,38.0%,>,"$20,000",38.0%,>,"$10,000",38.0%,>,"$10,000",32.0%,>,"$10,000",
,43.0%,>,"$24,000",43.0%,>,"$12,000",43.0%,>,"$12,000",36.0%,>,"$12,000",
,47.0%,>,"$28,000",47.0%,>,"$14,000",47.0%,>,"$14,000",39.0%,>,"$14,000",
,50.0%,>,"$32,000",50.0%,>,"$16,000",50.0%,>,"$16,000",42.0%,>,"$16,000",
,53.0%,>,"$36,000",53.0%,>,"$18,000",53.0%,>,"$18,000",43.0%,>,"$18,000",
,56.0%,>,"$40,000",56.0%,>,"$20,000",56.0%,>,"$20,000",47.0%,>,"$20,000",
,59.0%,>,"$44,000",59.0%,>,"$22,000",59.0%,>,"$22,000",49.0%,>,"$22,000",
,62.0%,>,"$52,000",62.0%,>,"$26,000",62.0%,>,"$26,000",52.0%,>,"$24,000",
,65.0%,>,"$64,000",65.0%,>,"$32,000",65.0%,>,"$32,000",54.0%,>,"$28,000",
,69.0%,>,"$76,000",69.0%,>,"$38,000",69.0%,>,"$38,000",58.0%,>,"$32,000",
,72.0%,>,"$88,000",72.0%,>,"$44,000",72.0%,>,"$44,000",62.0%,>,"$38,000",
,75.0%,>,"$100,000",75.0%,>,"$50,000",75.0%,>,"$50,000",66.0%,>,"$44,000",
,78.0%,>,"$120,000",78.0%,>,"$60,000",78.0%,>,"$60,000",68.0%,>,"$50,000",
,81.0%,>,"$140,000",81.0%,>,"$70,000",81.0%,>,"$70,000",71.0%,>,"$60,000",
,84.0%,>,"$160,000",84.0%,>,"$80,000",84.0%,>,"$80,000",74.0%,>,"$70,000",
,87.0%,>,"$180,000",87.0%,>,"$90,000",87.0%,>,"$90,000",76.0%,>,"$80,000",
,89.0%,>,"$200,000",89.0%,>,"$100,000",89.0%,>,"$100,000",80.0%,>,"$90,000",
,90.0%,>,"$300,000",90.0%,>,"$150,000",90.0%,>,"$150,000",83.0%,>,"$100,000",
,91.0%,>,"$400,000",91.0%,>,"$200,000",91.0%,>,"$200,000",87.0%,>,"$150,000",
,,,,,,,,,,90.0%,>,"$200,000",
,,,,,,,,,,91.0%,>,"$300,000",
,,,,,,,,,,,,,
1957,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,Last law to change rates was the Internal Revenue Code of 1954.
,22.0%,>,"$4,000",22.0%,>,"$2,000",22.0%,>,"$2,000",21.0%,>,"$2,000",
,26.0%,>,"$8,000",26.0%,>,"$4,000",26.0%,>,"$4,000",24.0%,>,"$4,000",
,30.0%,>,"$12,000",30.0%,>,"$6,000",30.0%,>,"$6,000",26.0%,>,"$6,000",
,34.0%,>,"$16,000",34.0%,>,"$8,000",34.0%,>,"$8,000",30.0%,>,"$8,000",
,38.0%,>,"$20,000",38.0%,>,"$10,000",38.0%,>,"$10,000",32.0%,>,"$10,000",
,43.0%,>,"$24,000",43.0%,>,"$12,000",43.0%,>,"$12,000",36.0%,>,"$12,000",
,47.0%,>,"$28,000",47.0%,>,"$14,000",47.0%,>,"$14,000",39.0%,>,"$14,000",
,50.0%,>,"$32,000",50.0%,>,"$16,000",50.0%,>,"$16,000",42.0%,>,"$16,000",
,53.0%,>,"$36,000",53.0%,>,"$18,000",53.0%,>,"$18,000",43.0%,>,"$18,000",
,56.0%,>,"$40,000",56.0%,>,"$20,000",56.0%,>,"$20,000",47.0%,>,"$20,000",
,59.0%,>,"$44,000",59.0%,>,"$22,000",59.0%,>,"$22,000",49.0%,>,"$22,000",
,62.0%,>,"$52,000",62.0%,>,"$26,000",62.0%,>,"$26,000",52.0%,>,"$24,000",
,65.0%,>,"$64,000",65.0%,>,"$32,000",65.0%,>,"$32,000",54.0%,>,"$28,000",
,69.0%,>,"$76,000",69.0%,>,"$38,000",69.0%,>,"$38,000",58.0%,>,"$32,000",
,72.0%,>,"$88,000",72.0%,>,"$44,000",72.0%,>,"$44,000",62.0%,>,"$38,000",
,75.0%,>,"$100,000",75.0%,>,"$50,000",75.0%,>,"$50,000",66.0%,>,"$44,000",
,78.0%,>,"$120,000",78.0%,>,"$60,000",78.0%,>,"$60,000",68.0%,>,"$50,000",
,81.0%,>,"$140,000",81.0%,>,"$70,000",81.0%,>,"$70,000",71.0%,>,"$60,000",
,84.0%,>,"$160,000",84.0%,>,"$80,000",84.0%,>,"$80,000",74.0%,>,"$70,000",
,87.0%,>,"$180,000",87.0%,>,"$90,000",87.0%,>,"$90,000",76.0%,>,"$80,000",
,89.0%,>,"$200,000",89.0%,>,"$100,000",89.0%,>,"$100,000",80.0%,>,"$90,000",
,90.0%,>,"$300,000",90.0%,>,"$150,000",90.0%,>,"$150,000",83.0%,>,"$100,000",
,91.0%,>,"$400,000",91.0%,>,"$200,000",91.0%,>,"$200,000",87.0%,>,"$150,000",
,,,,,,,,,,90.0%,>,"$200,000",
,,,,,,,,,,91.0%,>,"$300,000",
,,,,,,,,,,,,,
1956,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,Last law to change rates was the Internal Revenue Code of 1954.
,22.0%,>,"$4,000",22.0%,>,"$2,000",22.0%,>,"$2,000",21.0%,>,"$2,000",
,26.0%,>,"$8,000",26.0%,>,"$4,000",26.0%,>,"$4,000",24.0%,>,"$4,000",
,30.0%,>,"$12,000",30.0%,>,"$6,000",30.0%,>,"$6,000",26.0%,>,"$6,000",
,34.0%,>,"$16,000",34.0%,>,"$8,000",34.0%,>,"$8,000",30.0%,>,"$8,000",
,38.0%,>,"$20,000",38.0%,>,"$10,000",38.0%,>,"$10,000",32.0%,>,"$10,000",
,43.0%,>,"$24,000",43.0%,>,"$12,000",43.0%,>,"$12,000",36.0%,>,"$12,000",
,47.0%,>,"$28,000",47.0%,>,"$14,000",47.0%,>,"$14,000",39.0%,>,"$14,000",
,50.0%,>,"$32,000",50.0%,>,"$16,000",50.0%,>,"$16,000",42.0%,>,"$16,000",
,53.0%,>,"$36,000",53.0%,>,"$18,000",53.0%,>,"$18,000",43.0%,>,"$18,000",
,56.0%,>,"$40,000",56.0%,>,"$20,000",56.0%,>,"$20,000",47.0%,>,"$20,000",
,59.0%,>,"$44,000",59.0%,>,"$22,000",59.0%,>,"$22,000",49.0%,>,"$22,000",
,62.0%,>,"$52,000",62.0%,>,"$26,000",62.0%,>,"$26,000",52.0%,>,"$24,000",
,65.0%,>,"$64,000",65.0%,>,"$32,000",65.0%,>,"$32,000",54.0%,>,"$28,000",
,69.0%,>,"$76,000",69.0%,>,"$38,000",69.0%,>,"$38,000",58.0%,>,"$32,000",
,72.0%,>,"$88,000",72.0%,>,"$44,000",72.0%,>,"$44,000",62.0%,>,"$38,000",
,75.0%,>,"$100,000",75.0%,>,"$50,000",75.0%,>,"$50,000",66.0%,>,"$44,000",
,78.0%,>,"$120,000",78.0%,>,"$60,000",78.0%,>,"$60,000",68.0%,>,"$50,000",
,81.0%,>,"$140,000",81.0%,>,"$70,000",81.0%,>,"$70,000",71.0%,>,"$60,000",
,84.0%,>,"$160,000",84.0%,>,"$80,000",84.0%,>,"$80,000",74.0%,>,"$70,000",
,87.0%,>,"$180,000",87.0%,>,"$90,000",87.0%,>,"$90,000",76.0%,>,"$80,000",
,89.0%,>,"$200,000",89.0%,>,"$100,000",89.0%,>,"$100,000",80.0%,>,"$90,000",
,90.0%,>,"$300,000",90.0%,>,"$150,000",90.0%,>,"$150,000",83.0%,>,"$100,000",
,91.0%,>,"$400,000",91.0%,>,"$200,000",91.0%,>,"$200,000",87.0%,>,"$150,000",
,,,,,,,,,,90.0%,>,"$200,000",
,,,,,,,,,,91.0%,>,"$300,000",
,,,,,,,,,,,,,
1955,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,Last law to change rates was the Internal Revenue Code of 1954.
,22.0%,>,"$4,000",22.0%,>,"$2,000",22.0%,>,"$2,000",21.0%,>,"$2,000",
,26.0%,>,"$8,000",26.0%,>,"$4,000",26.0%,>,"$4,000",24.0%,>,"$4,000",
,30.0%,>,"$12,000",30.0%,>,"$6,000",30.0%,>,"$6,000",26.0%,>,"$6,000",
,34.0%,>,"$16,000",34.0%,>,"$8,000",34.0%,>,"$8,000",30.0%,>,"$8,000",
,38.0%,>,"$20,000",38.0%,>,"$10,000",38.0%,>,"$10,000",32.0%,>,"$10,000",
,43.0%,>,"$24,000",43.0%,>,"$12,000",43.0%,>,"$12,000",36.0%,>,"$12,000",
,47.0%,>,"$28,000",47.0%,>,"$14,000",47.0%,>,"$14,000",39.0%,>,"$14,000",
,50.0%,>,"$32,000",50.0%,>,"$16,000",50.0%,>,"$16,000",42.0%,>,"$16,000",
,53.0%,>,"$36,000",53.0%,>,"$18,000",53.0%,>,"$18,000",43.0%,>,"$18,000",
,56.0%,>,"$40,000",56.0%,>,"$20,000",56.0%,>,"$20,000",47.0%,>,"$20,000",
,59.0%,>,"$44,000",59.0%,>,"$22,000",59.0%,>,"$22,000",49.0%,>,"$22,000",
,62.0%,>,"$52,000",62.0%,>,"$26,000",62.0%,>,"$26,000",52.0%,>,"$24,000",
,65.0%,>,"$64,000",65.0%,>,"$32,000",65.0%,>,"$32,000",54.0%,>,"$28,000",
,69.0%,>,"$76,000",69.0%,>,"$38,000",69.0%,>,"$38,000",58.0%,>,"$32,000",
,72.0%,>,"$88,000",72.0%,>,"$44,000",72.0%,>,"$44,000",62.0%,>,"$38,000",
,75.0%,>,"$100,000",75.0%,>,"$50,000",75.0%,>,"$50,000",66.0%,>,"$44,000",
,78.0%,>,"$120,000",78.0%,>,"$60,000",78.0%,>,"$60,000",68.0%,>,"$50,000",
,81.0%,>,"$140,000",81.0%,>,"$70,000",81.0%,>,"$70,000",71.0%,>,"$60,000",
,84.0%,>,"$160,000",84.0%,>,"$80,000",84.0%,>,"$80,000",74.0%,>,"$70,000",
,87.0%,>,"$180,000",87.0%,>,"$90,000",87.0%,>,"$90,000",76.0%,>,"$80,000",
,89.0%,>,"$200,000",89.0%,>,"$100,000",89.0%,>,"$100,000",80.0%,>,"$90,000",
,90.0%,>,"$300,000",90.0%,>,"$150,000",90.0%,>,"$150,000",83.0%,>,"$100,000",
,91.0%,>,"$400,000",91.0%,>,"$200,000",91.0%,>,"$200,000",87.0%,>,"$150,000",
,,,,,,,,,,90.0%,>,"$200,000",
,,,,,,,,,,91.0%,>,"$300,000",
,,,,,,,,,,,,,
1954,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,"Last law to change rates was the Internal Revenue Code of 1954, under which the 3 percent normal tax and the surtax rates were combined in a single set of rates and the maximum effective tax on net income was 87 percent of income."
,22.0%,>,"$4,000",22.0%,>,"$2,000",22.0%,>,"$2,000",21.0%,>,"$2,000",
,26.0%,>,"$8,000",26.0%,>,"$4,000",26.0%,>,"$4,000",24.0%,>,"$4,000",
,30.0%,>,"$12,000",30.0%,>,"$6,000",30.0%,>,"$6,000",26.0%,>,"$6,000",
,34.0%,>,"$16,000",34.0%,>,"$8,000",34.0%,>,"$8,000",30.0%,>,"$8,000",
,38.0%,>,"$20,000",38.0%,>,"$10,000",38.0%,>,"$10,000",32.0%,>,"$10,000",
,43.0%,>,"$24,000",43.0%,>,"$12,000",43.0%,>,"$12,000",36.0%,>,"$12,000",
,47.0%,>,"$28,000",47.0%,>,"$14,000",47.0%,>,"$14,000",39.0%,>,"$14,000",
,50.0%,>,"$32,000",50.0%,>,"$16,000",50.0%,>,"$16,000",42.0%,>,"$16,000",
,53.0%,>,"$36,000",53.0%,>,"$18,000",53.0%,>,"$18,000",43.0%,>,"$18,000",
,56.0%,>,"$40,000",56.0%,>,"$20,000",56.0%,>,"$20,000",47.0%,>,"$20,000",
,59.0%,>,"$44,000",59.0%,>,"$22,000",59.0%,>,"$22,000",49.0%,>,"$22,000",
,62.0%,>,"$52,000",62.0%,>,"$26,000",62.0%,>,"$26,000",52.0%,>,"$24,000",
,65.0%,>,"$64,000",65.0%,>,"$32,000",65.0%,>,"$32,000",54.0%,>,"$28,000",
,69.0%,>,"$76,000",69.0%,>,"$38,000",69.0%,>,"$38,000",58.0%,>,"$32,000",
,72.0%,>,"$88,000",72.0%,>,"$44,000",72.0%,>,"$44,000",62.0%,>,"$38,000",
,75.0%,>,"$100,000",75.0%,>,"$50,000",75.0%,>,"$50,000",66.0%,>,"$44,000",
,78.0%,>,"$120,000",78.0%,>,"$60,000",78.0%,>,"$60,000",68.0%,>,"$50,000",
,81.0%,>,"$140,000",81.0%,>,"$70,000",81.0%,>,"$70,000",71.0%,>,"$60,000",
,84.0%,>,"$160,000",84.0%,>,"$80,000",84.0%,>,"$80,000",74.0%,>,"$70,000",
,87.0%,>,"$180,000",87.0%,>,"$90,000",87.0%,>,"$90,000",76.0%,>,"$80,000",
,89.0%,>,"$200,000",89.0%,>,"$100,000",89.0%,>,"$100,000",80.0%,>,"$90,000",
,90.0%,>,"$300,000",90.0%,>,"$150,000",90.0%,>,"$150,000",83.0%,>,"$100,000",
,91.0%,>,"$400,000",91.0%,>,"$200,000",91.0%,>,"$200,000",87.0%,>,"$150,000",
,,,,,,,,,,90.0%,>,"$200,000",
,,,,,,,,,,91.0%,>,"$300,000",
,,,,,,,,,,,,,
1953,22.2%,>,$0,22.2%,>,$0,22.2%,>,$0,22.2%,>,$0,"Tax rates include normal tax of 3 percent plus applicable surtax, and the maximum effective tax rate on net income was 88 percent.  Last law to change rates was the Revenue Act of 1951."
,24.6%,>,"$4,000",24.6%,>,"$2,000",24.6%,>,"$2,000",23.4%,>,"$2,000",
,29.0%,>,"$8,000",29.0%,>,"$4,000",29.0%,>,"$4,000",27.0%,>,"$4,000",
,34.0%,>,"$12,000",34.0%,>,"$6,000",34.0%,>,"$6,000",29.0%,>,"$6,000",
,38.0%,>,"$16,000",38.0%,>,"$8,000",38.0%,>,"$8,000",34.0%,>,"$8,000",
,42.0%,>,"$20,000",42.0%,>,"$10,000",42.0%,>,"$10,000",35.0%,>,"$10,000",
,48.0%,>,"$24,000",48.0%,>,"$12,000",48.0%,>,"$12,000",41.0%,>,"$12,000",
,53.0%,>,"$28,000",53.0%,>,"$14,000",53.0%,>,"$14,000",44.0%,>,"$14,000",
,56.0%,>,"$32,000",56.0%,>,"$16,000",56.0%,>,"$16,000",47.0%,>,"$16,000",
,59.0%,>,"$36,000",59.0%,>,"$18,000",59.0%,>,"$18,000",48.0%,>,"$18,000",
,62.0%,>,"$40,000",62.0%,>,"$20,000",62.0%,>,"$20,000",52.0%,>,"$20,000",
,66.0%,>,"$44,000",66.0%,>,"$22,000",66.0%,>,"$22,000",54.0%,>,"$22,000",
,67.0%,>,"$52,000",67.0%,>,"$26,000",67.0%,>,"$26,000",57.0%,>,"$24,000",
,68.0%,>,"$64,000",68.0%,>,"$32,000",68.0%,>,"$32,000",60.0%,>,"$28,000",
,72.0%,>,"$76,000",72.0%,>,"$38,000",72.0%,>,"$38,000",63.0%,>,"$32,000",
,75.0%,>,"$88,000",75.0%,>,"$44,000",75.0%,>,"$44,000",66.0%,>,"$38,000",
,77.0%,>,"$100,000",77.0%,>,"$50,000",77.0%,>,"$50,000",71.0%,>,"$44,000",
,80.0%,>,"$120,000",80.0%,>,"$60,000",80.0%,>,"$60,000",72.0%,>,"$50,000",
,83.0%,>,"$140,000",83.0%,>,"$70,000",83.0%,>,"$70,000",73.0%,>,"$60,000",
,85.0%,>,"$160,000",85.0%,>,"$80,000",85.0%,>,"$80,000",77.0%,>,"$70,000",
,88.0%,>,"$180,000",88.0%,>,"$90,000",88.0%,>,"$90,000",79.0%,>,"$80,000",
,90.0%,>,"$200,000",90.0%,>,"$100,000",90.0%,>,"$100,000",81.0%,>,"$90,000",
,91.0%,>,"$300,000",91.0%,>,"$150,000",91.0%,>,"$150,000",85.0%,>,"$100,000",
,92.0%,>,"$400,000",92.0%,>,"$200,000",92.0%,>,"$200,000",88.0%,>,"$150,000",
,,,,,,,,,,91.0%,>,"$200,000",
,,,,,,,,,,92.0%,>,"$300,000",
,,,,,,,,,,,,,
1952,22.2%,>,$0,22.2%,>,$0,22.2%,>,$0,22.2%,>,$0,Last law to change rates was the Revenue Act of 1951
,24.6%,>,"$4,000",24.6%,>,"$2,000",24.6%,>,"$2,000",23.4%,>,"$2,000",
,29.0%,>,"$8,000",29.0%,>,"$4,000",29.0%,>,"$4,000",27.0%,>,"$4,000",
,34.0%,>,"$12,000",34.0%,>,"$6,000",34.0%,>,"$6,000",29.0%,>,"$6,000",
,38.0%,>,"$16,000",38.0%,>,"$8,000",38.0%,>,"$8,000",34.0%,>,"$8,000",
,42.0%,>,"$20,000",42.0%,>,"$10,000",42.0%,>,"$10,000",35.0%,>,"$10,000",
,48.0%,>,"$24,000",48.0%,>,"$12,000",48.0%,>,"$12,000",41.0%,>,"$12,000",
,53.0%,>,"$28,000",53.0%,>,"$14,000",53.0%,>,"$14,000",44.0%,>,"$14,000",
,56.0%,>,"$32,000",56.0%,>,"$16,000",56.0%,>,"$16,000",47.0%,>,"$16,000",
,59.0%,>,"$36,000",59.0%,>,"$18,000",59.0%,>,"$18,000",48.0%,>,"$18,000",
,62.0%,>,"$40,000",62.0%,>,"$20,000",62.0%,>,"$20,000",52.0%,>,"$20,000",
,66.0%,>,"$44,000",66.0%,>,"$22,000",66.0%,>,"$22,000",54.0%,>,"$22,000",
,67.0%,>,"$52,000",67.0%,>,"$26,000",67.0%,>,"$26,000",57.0%,>,"$24,000",
,68.0%,>,"$64,000",68.0%,>,"$32,000",68.0%,>,"$32,000",60.0%,>,"$28,000",
,72.0%,>,"$76,000",72.0%,>,"$38,000",72.0%,>,"$38,000",63.0%,>,"$32,000",
,75.0%,>,"$88,000",75.0%,>,"$44,000",75.0%,>,"$44,000",66.0%,>,"$38,000",
,77.0%,>,"$100,000",77.0%,>,"$50,000",77.0%,>,"$50,000",71.0%,>,"$44,000",
,80.0%,>,"$120,000",80.0%,>,"$60,000",80.0%,>,"$60,000",72.0%,>,"$50,000",
,83.0%,>,"$140,000",83.0%,>,"$70,000",83.0%,>,"$70,000",73.0%,>,"$60,000",
,85.0%,>,"$160,000",85.0%,>,"$80,000",85.0%,>,"$80,000",77.0%,>,"$70,000",
